Crop type,Season,Year,State,District,Annual rainfall (mm),Cultivated area (hectares),Total production (tonnes),Pesticide and fertilizer used (kg/hectare),Yield (tonnes/hectare)
Niger,Rabi,2004-2005,Odisha,Angul,1324.84,15688,23061.36,100.99,1.47
Black Pepper,Rabi,2008-2009,Odisha,Sambalpur,1289.85,24897,37096.53,198.18,1.49
Papaya,Kharif,2005-2006,Odisha,Khordha,1467.75,20756,727705.36,236.43,35.06
Linseed,Rabi,2017-2018,Odisha,Balangir,1310.54,11795,18518.15,101.33,1.57
Maize,Kharif,2007-2008,Odisha,Balangir,1585.85,63070,195517.0,131.5,3.1
Cotton,Kharif,2010-2011,Odisha,Deogarh,1207.34,39914,28338.94,108.55,0.71
Jute,Rabi,2018-2019,Odisha,Malkangiri,1328.12,25665,68525.55,220.34,2.67
Biri (Black Gram),Kharif,2023-2024,Odisha,Subarnapur,1593.67,18712,34430.08,200.35,1.84
Tea,Kharif,2016-2017,Odisha,Kandhamal,1318.56,27199,46782.28,153.55,1.72
Sunflower,Rabi,2010-2011,Odisha,Balangir,1451.47,26954,44204.56,90.13,1.64
Papaya,Rabi,2020-2021,Odisha,Cuttack,1676.89,18387,663402.96,184.0,36.08
Biri (Black Gram),Rabi,2023-2024,Odisha,Deogarh,1421.56,27321,47811.75,204.76,1.75
Cowpea,Rabi,2011-2012,Odisha,Bhadrak,1568.81,17010,27386.1,122.85,1.61
Cardamom,Rabi,2024-2025,Odisha,Deogarh,1257.38,20151,33249.15,129.71,1.65
Field Pea,Rabi,2012-2013,Odisha,Bargarh,1476.98,30076,51730.72,241.81,1.72
Cotton,Kharif,2005-2006,Odisha,Cuttack,1683.71,36330,22161.3,236.6,0.61
Oil Palm,Rabi,2016-2017,Odisha,Kalahandi,1503.6,18374,31235.8,222.99,1.7
Castor,Rabi,2007-2008,Odisha,Jagatsinghapur,1540.33,32039,49340.06,99.16,1.54
Garlic,Kharif,2005-2006,Odisha,Keonjhar,1645.1,15486,26481.06,151.79,1.71
Oil Palm,Rabi,2001-2002,Odisha,Boudh,1558.75,12202,17814.92,82.15,1.46
Tea,Rabi,2008-2009,Odisha,Jharsuguda,1253.84,13417,20393.84,149.5,1.52
Oranges & Limes,Kharif,2002-2003,Odisha,Nuapada,1460.93,13920,19905.6,163.25,1.43
Sunflower,Kharif,2000-2001,Odisha,Koraput,1627.35,23528,36468.4,141.34,1.55
Biri (Black Gram),Rabi,2011-2012,Odisha,Nuapada,1451.61,27456,41458.56,90.92,1.51
Gourds,Rabi,2018-2019,Odisha,Puri,1389.58,32577,53100.51,129.27,1.63
Kulthi (Horse Gram),Rabi,2010-2011,Odisha,Ganjam,1725.17,27723,42970.65,106.28,1.55
Mango,Rabi,2000-2001,Odisha,Nabarangpur,1100.07,19644,30448.2,178.6,1.55
Wheat,Kharif,2011-2012,Odisha,Malkangiri,1722.16,29421,70904.61,195.3,2.41
Coffee,Rabi,2011-2012,Odisha,Jajpur,1430.91,15752,25045.68,204.07,1.59
Garlic,Kharif,2019-2020,Odisha,Nabarangpur,1183.42,31886,53568.48,139.69,1.68
Coconut,Kharif,2024-2025,Odisha,Rayagada,1428.51,14934,24939.78,147.07,1.67
Small Millets,Kharif,2023-2024,Odisha,Boudh,1406.07,15942,26782.56,124.91,1.68
Garlic,Kharif,2018-2019,Odisha,Malkangiri,1197.0,16388,29662.28,193.42,1.81
Tomato,Rabi,2022-2023,Odisha,Mayurbhanj,1466.84,35465,62773.05,190.9,1.77
Potato,Rabi,2013-2014,Odisha,Ganjam,1458.66,16938,373991.04,100.43,22.08
Coconut,Rabi,2023-2024,Odisha,Nuapada,1410.85,23147,42359.01,147.52,1.83
Mango,Rabi,2001-2002,Odisha,Cuttack,1403.34,26348,41366.36,108.2,1.57
Mung (Green Gram),Rabi,2019-2020,Odisha,Bargarh,1340.09,15955,26325.75,138.91,1.65
Black Pepper,Rabi,2001-2002,Odisha,Deogarh,1434.59,27919,41320.12,119.52,1.48
Tea,Rabi,2008-2009,Odisha,Cuttack,1555.44,18725,29211.0,170.25,1.56
Cauliflower,Rabi,2008-2009,Odisha,Bargarh,1374.41,19909,30261.68,143.1,1.52
Garlic,Rabi,2008-2009,Odisha,Rayagada,1530.94,29402,45279.08,127.0,1.54
Cabbage,Rabi,2006-2007,Odisha,Koraput,1478.2,33505,44561.65,227.98,1.33
Exotic Vegetables,Kharif,2010-2011,Odisha,Balangir,1748.27,25168,41275.52,191.96,1.64
Pineapple,Kharif,2004-2005,Odisha,Angul,1422.35,16509,26249.31,169.62,1.59
Coriander,Kharif,2019-2020,Odisha,Angul,1629.15,31314,61062.3,104.54,1.95
Brinjal (Eggplant),Rabi,2001-2002,Odisha,Khordha,1301.06,25126,38442.78,145.46,1.53
Maize,Rabi,2000-2001,Odisha,Puri,1641.19,70599,217444.92,144.08,3.08
Jute,Rabi,2011-2012,Odisha,Mayurbhanj,1519.22,25536,67670.4,113.62,2.65
Jackfruit,Rabi,2006-2007,Odisha,Jharsuguda,1474.08,10520,16200.8,141.12,1.54
Papaya,Kharif,2007-2008,Odisha,Boudh,1134.65,32096,1092547.84,190.13,34.04
Guava,Rabi,2005-2006,Odisha,Ganjam,1353.9,7786,11601.14,111.99,1.49
Gourds,Kharif,2015-2016,Odisha,Keonjhar,1457.34,26307,40512.78,189.99,1.54
Cotton,Rabi,2007-2008,Odisha,Kandhamal,1298.2,41933,20966.5,105.56,0.5
Sunflower,Kharif,2008-2009,Odisha,Subarnapur,1489.57,13648,20881.44,85.62,1.53
Sweet Potato,Rabi,2013-2014,Odisha,Nayagarh,1500.29,28711,47660.26,127.82,1.66
Wheat,Rabi,2017-2018,Odisha,Nayagarh,1282.16,19302,44201.58,167.58,2.29
Wheat,Rabi,2000-2001,Odisha,Kendrapara,1556.06,13412,32322.92,158.63,2.41
Castor,Kharif,2009-2010,Odisha,Rayagada,1436.82,3304,5418.56,245.93,1.64
Groundnut,Rabi,2019-2020,Odisha,Sundargarh,1690.33,5203,9209.31,113.84,1.77
Ginger,Kharif,2018-2019,Odisha,Deogarh,1457.18,37121,61620.86,90.33,1.66
Mung (Green Gram),Rabi,2000-2001,Odisha,Dhenkanal,1147.71,20078,22487.36,101.46,1.12
Cabbage,Rabi,2002-2003,Odisha,Kalahandi,1439.72,10131,14588.64,178.41,1.44
Sunflower,Rabi,2006-2007,Odisha,Balasore,1662.93,13480,21568.0,133.34,1.6
Tea,Rabi,2006-2007,Odisha,Nuapada,1213.05,13912,19755.04,116.11,1.42
Sunflower,Rabi,2003-2004,Odisha,Khordha,1607.61,32399,50866.43,135.82,1.57
Turmeric,Kharif,2000-2001,Odisha,Nayagarh,1284.08,12035,16126.9,183.76,1.34
Jute,Rabi,2000-2001,Odisha,Cuttack,1515.82,31324,79249.72,119.47,2.53
Sunflower,Rabi,2023-2024,Odisha,Nuapada,1037.54,24853,42747.16,187.9,1.72
Rubber,Kharif,2000-2001,Odisha,Nayagarh,1468.94,20566,31671.64,124.35,1.54
Papaya,Kharif,2023-2024,Odisha,Dhenkanal,1376.21,25154,878629.22,255.7,34.93
Cardamom,Rabi,2020-2021,Odisha,Dhenkanal,1524.89,10143,17344.53,255.49,1.71
Ragi (Finger Millet),Kharif,2009-2010,Odisha,Balasore,1459.98,17672,27038.16,212.89,1.53
Sunflower,Rabi,2012-2013,Odisha,Kendrapara,1283.82,14932,20307.52,122.13,1.36
Linseed,Rabi,2003-2004,Odisha,Rayagada,1299.49,10354,15116.84,182.94,1.46
Sapota,Kharif,2001-2002,Odisha,Malkangiri,1332.1,17579,29005.35,229.41,1.65
Mesta,Kharif,2009-2010,Odisha,Sundargarh,1472.41,21018,31106.64,180.14,1.48
Groundnut,Rabi,2003-2004,Odisha,Nayagarh,1345.9,15494,21536.66,169.58,1.39
Sweet Potato,Kharif,2020-2021,Odisha,Jharsuguda,1698.36,16472,30967.36,208.0,1.88
Guava,Kharif,2000-2001,Odisha,Nayagarh,1323.22,9367,15361.88,199.83,1.64
Wheat,Kharif,2015-2016,Odisha,Deogarh,1286.42,20464,48499.68,251.79,2.37
Tomato,Rabi,2015-2016,Odisha,Jajpur,1455.73,25435,39932.95,244.62,1.57
Rubber,Rabi,2022-2023,Odisha,Kandhamal,1475.68,26100,45675.0,185.77,1.75
Chilli,Kharif,2014-2015,Odisha,Sundargarh,1331.18,23355,37601.55,221.24,1.61
Tobacco,Rabi,2014-2015,Odisha,Balangir,1498.68,2298,3424.02,232.45,1.49
Sweet Potato,Kharif,2012-2013,Odisha,Rayagada,1594.64,19837,31342.46,125.37,1.58
Oil Palm,Rabi,2007-2008,Odisha,Gajapati,1596.34,34047,53113.32,215.75,1.56
Rice (Paddy),Rabi,2012-2013,Odisha,Koraput,1416.6,54698,207852.4,127.21,3.8
Cardamom,Rabi,2009-2010,Odisha,Bargarh,1637.98,20023,31235.88,158.99,1.56
Onion,Kharif,2023-2024,Odisha,Dhenkanal,1644.71,15119,25551.11,156.37,1.69
Cotton,Rabi,2017-2018,Odisha,Dhenkanal,1478.87,42029,29000.01,104.74,0.69
Coriander,Rabi,2022-2023,Odisha,Rayagada,1366.59,20510,37328.2,166.59,1.82
Pumpkin,Rabi,2011-2012,Odisha,Balasore,1388.79,20006,32609.78,211.56,1.63
Cabbage,Rabi,2008-2009,Odisha,Keonjhar,1352.01,24179,39895.35,227.35,1.65
Coconut,Rabi,2017-2018,Odisha,Angul,1241.17,17203,29933.22,145.19,1.74
Pineapple,Kharif,2021-2022,Odisha,Kendrapara,1737.96,24999,44498.22,147.65,1.78
Litchi,Rabi,2016-2017,Odisha,Koraput,1349.24,25866,48110.76,92.4,1.86
Arhar (Pigeon Pea),Rabi,2024-2025,Odisha,Ganjam,1430.56,18733,30160.13,158.39,1.61
Coffee,Rabi,2004-2005,Odisha,Angul,1681.74,20006,30809.24,116.48,1.54
Ginger,Rabi,2020-2021,Odisha,Jajpur,1312.49,500,830.0,235.63,1.66
Tea,Rabi,2001-2002,Odisha,Nuapada,1532.39,19661,28311.84,180.89,1.44
Mung (Green Gram),Rabi,2015-2016,Odisha,Boudh,1479.81,10923,17804.49,230.86,1.63
Cashew,Rabi,2001-2002,Odisha,Jagatsinghapur,1290.61,26705,39790.45,109.07,1.49
Field Pea,Kharif,2011-2012,Odisha,Jajpur,1521.45,22908,33674.76,167.0,1.47
Exotic Vegetables,Rabi,2022-2023,Odisha,Subarnapur,1721.24,21051,36839.25,259.3,1.75
Small Millets,Rabi,2024-2025,Odisha,Nabarangpur,1551.39,39977,70359.52,226.11,1.76
Turmeric,Rabi,2007-2008,Odisha,Nuapada,1475.9,6810,9465.9,240.92,1.39
Cowpea,Kharif,2022-2023,Odisha,Ganjam,1420.62,22459,38404.89,129.63,1.71
Okra (Bhendi),Rabi,2000-2001,Odisha,Nabarangpur,1725.21,19149,29489.46,82.73,1.54
Mustard,Rabi,2016-2017,Odisha,Nayagarh,1472.28,31222,48706.32,162.51,1.56
Rice (Paddy),Kharif,2009-2010,Odisha,Jharsuguda,1264.8,206042,688180.28,248.07,3.34
Mustard,Kharif,2004-2005,Odisha,Deogarh,1385.23,23523,35049.27,114.45,1.49
Groundnut,Kharif,2023-2024,Odisha,Kandhamal,1319.92,24333,42096.09,251.13,1.73
Cabbage,Rabi,2007-2008,Odisha,Khordha,1451.88,16673,25176.23,247.28,1.51
Papaya,Kharif,2015-2016,Odisha,Sundargarh,1486.54,28474,1005986.42,180.93,35.33
Papaya,Kharif,2005-2006,Odisha,Balasore,1292.33,16708,577261.4,111.58,34.55
Black Pepper,Rabi,2005-2006,Odisha,Sundargarh,1266.8,32030,44842.0,215.27,1.4
Niger,Kharif,2000-2001,Odisha,Nabarangpur,1245.87,42952,66575.6,169.17,1.55
Cauliflower,Rabi,2000-2001,Odisha,Kendrapara,1346.29,18950,24066.5,224.67,1.27
Mango,Rabi,2021-2022,Odisha,Nayagarh,1421.03,15024,25540.8,142.37,1.7
Pineapple,Rabi,2000-2001,Odisha,Gajapati,1416.84,16157,22619.8,205.2,1.4
Coconut,Rabi,2021-2022,Odisha,Dhenkanal,1628.51,13827,23229.36,127.17,1.68
Cabbage,Kharif,2017-2018,Odisha,Nayagarh,1171.23,7921,12752.81,133.24,1.61
Turmeric,Rabi,2006-2007,Odisha,Khordha,1509.49,7855,13117.85,234.75,1.67
Ragi (Finger Millet),Rabi,2001-2002,Odisha,Deogarh,1234.94,23967,34512.48,86.0,1.44
Field Pea,Kharif,2019-2020,Odisha,Rayagada,1451.15,12225,21027.0,248.64,1.72
Bajra (Pearl Millet),Kharif,2014-2015,Odisha,Sambalpur,1396.67,6170,10674.1,213.46,1.73
Bajra (Pearl Millet),Rabi,2008-2009,Odisha,Cuttack,1310.85,13754,18842.98,211.05,1.37
Pumpkin,Kharif,2007-2008,Odisha,Jharsuguda,1294.46,12496,22867.68,218.92,1.83
Tobacco,Rabi,2011-2012,Odisha,Balasore,1592.41,16007,23850.43,227.87,1.49
Coconut,Rabi,2003-2004,Odisha,Balasore,1599.53,25677,40569.66,121.39,1.58
Jowar (Sorghum),Rabi,2005-2006,Odisha,Jharsuguda,1288.52,30986,49577.6,116.56,1.6
Banana,Rabi,2011-2012,Odisha,Jharsuguda,1713.5,17590,543706.9,132.68,30.91
Papaya,Rabi,2015-2016,Odisha,Rayagada,1243.44,17755,609529.15,205.61,34.33
Sweet Potato,Kharif,2001-2002,Odisha,Nayagarh,1417.02,22305,32119.2,186.69,1.44
Litchi,Kharif,2001-2002,Odisha,Jagatsinghapur,1472.65,20433,32284.14,116.73,1.58
Coffee,Kharif,2018-2019,Odisha,Ganjam,1642.38,20662,35125.4,91.54,1.7
Potato,Kharif,2004-2005,Odisha,Keonjhar,1516.88,13153,295679.44,183.03,22.48
Bajra (Pearl Millet),Rabi,2001-2002,Odisha,Subarnapur,1532.44,14256,21669.12,157.93,1.52
Linseed,Rabi,2004-2005,Odisha,Cuttack,1611.76,16675,21844.25,187.98,1.31
Coriander,Rabi,2012-2013,Odisha,Khordha,1431.97,15521,23591.92,180.63,1.52
Coconut,Kharif,2024-2025,Odisha,Cuttack,1395.5,22786,36913.32,227.84,1.62
Cowpea,Kharif,2024-2025,Odisha,Angul,1476.94,31854,54788.88,93.33,1.72
Kulthi (Horse Gram),Rabi,2021-2022,Odisha,Angul,1440.89,21856,34095.36,170.84,1.56
Cotton,Kharif,2001-2002,Odisha,Gajapati,1324.59,45184,25754.88,245.78,0.57
Cauliflower,Kharif,2007-2008,Odisha,Sambalpur,1467.79,25623,41509.26,184.12,1.62
Groundnut,Rabi,2000-2001,Odisha,Koraput,1486.18,19160,30656.0,151.46,1.6
Rubber,Rabi,2017-2018,Odisha,Dhenkanal,1228.49,13827,23920.71,175.95,1.73
Cowpea,Rabi,2011-2012,Odisha,Angul,1581.41,17846,31408.96,127.98,1.76
Oranges & Limes,Rabi,2008-2009,Odisha,Jharsuguda,1510.22,24270,36647.7,203.77,1.51
Potato,Rabi,2001-2002,Odisha,Jajpur,1503.13,32689,714908.43,116.47,21.87
Jowar (Sorghum),Rabi,2014-2015,Odisha,Balangir,1549.35,39703,64318.86,149.48,1.62
Arhar (Pigeon Pea),Kharif,2000-2001,Odisha,Koraput,1525.67,23042,35023.84,108.51,1.52
Ragi (Finger Millet),Rabi,2005-2006,Odisha,Ganjam,1354.11,572,938.08,241.04,1.64
Pumpkin,Rabi,2010-2011,Odisha,Jharsuguda,1666.17,22768,39844.0,244.15,1.75
Field Pea,Kharif,2017-2018,Odisha,Kandhamal,1283.65,24671,40707.15,144.66,1.65
Oil Palm,Kharif,2005-2006,Odisha,Koraput,1548.52,40898,67890.68,133.8,1.66
Turmeric,Rabi,2015-2016,Odisha,Kalahandi,1439.91,26532,42716.52,187.36,1.61
Lentil,Rabi,2018-2019,Odisha,Jharsuguda,1529.66,16841,26945.6,106.1,1.6
Ragi (Finger Millet),Rabi,2006-2007,Odisha,Kendrapara,1229.94,8670,12918.3,136.33,1.49
Garlic,Rabi,2022-2023,Odisha,Balangir,1242.9,21048,37675.92,97.4,1.79
Papaya,Kharif,2024-2025,Odisha,Balasore,1574.89,15008,537136.32,208.07,35.79
Coffee,Kharif,2005-2006,Odisha,Balasore,1457.47,33212,48489.52,86.06,1.46
Exotic Vegetables,Kharif,2004-2005,Odisha,Nayagarh,1565.1,7672,12121.76,142.66,1.58
Garlic,Kharif,2008-2009,Odisha,Kendrapara,1578.94,24526,34336.4,130.05,1.4
Cashew,Kharif,2001-2002,Odisha,Subarnapur,1480.46,21976,34941.84,212.04,1.59
Biri (Black Gram),Kharif,2018-2019,Odisha,Boudh,1159.91,21690,33619.5,159.1,1.55
Mesta,Rabi,2016-2017,Odisha,Malkangiri,1349.29,30931,55057.18,224.12,1.78
Onion,Kharif,2019-2020,Odisha,Kandhamal,1678.65,10106,18089.74,169.28,1.79
Ragi (Finger Millet),Rabi,2004-2005,Odisha,Kalahandi,1634.78,24499,34298.6,152.32,1.4
Mustard,Rabi,2012-2013,Odisha,Nuapada,1303.02,10474,16758.4,202.97,1.6
Mesta,Rabi,2013-2014,Odisha,Balangir,1650.98,22775,36667.75,211.77,1.61
Banana,Rabi,2008-2009,Odisha,Kalahandi,1620.1,19710,600760.8,207.82,30.48
Pineapple,Rabi,2003-2004,Odisha,Rayagada,1768.85,23917,40658.9,195.06,1.7
Mung (Green Gram),Kharif,2016-2017,Odisha,Jajpur,1209.43,12451,18302.97,149.92,1.47
Brinjal (Eggplant),Kharif,2008-2009,Odisha,Malkangiri,1710.16,16553,27146.92,109.39,1.64
Arhar (Pigeon Pea),Rabi,2002-2003,Odisha,Boudh,1345.4,22556,32480.64,131.64,1.44
Sunflower,Rabi,2013-2014,Odisha,Cuttack,1543.12,25509,40049.13,128.22,1.57
Banana,Kharif,2013-2014,Odisha,Puri,1665.75,29695,920248.05,123.24,30.99
Linseed,Rabi,2018-2019,Odisha,Koraput,1661.85,24223,40694.64,127.58,1.68
Bajra (Pearl Millet),Kharif,2010-2011,Odisha,Nuapada,1382.07,20637,30130.02,220.94,1.46
Field Pea,Rabi,2012-2013,Odisha,Kendrapara,1438.44,21098,34600.72,149.14,1.64
Cowpea,Kharif,2000-2001,Odisha,Gajapati,1289.9,14711,23390.49,81.99,1.59
Ragi (Finger Millet),Rabi,2012-2013,Odisha,Khordha,1568.67,20611,29679.84,90.24,1.44
Coconut,Rabi,2002-2003,Odisha,Kendrapara,1597.85,719,1056.93,138.25,1.47
Sapota,Rabi,2024-2025,Odisha,Khordha,1558.07,13104,21621.6,253.64,1.65
Mustard,Rabi,2024-2025,Odisha,Balasore,1132.32,28255,44360.35,172.43,1.57
Cotton,Kharif,2018-2019,Odisha,Ganjam,1442.61,34487,16208.89,188.98,0.47
Small Millets,Rabi,2023-2024,Odisha,Keonjhar,1603.33,31762,55901.12,209.16,1.76
Cowpea,Rabi,2017-2018,Odisha,Deogarh,1486.84,23408,37452.8,155.26,1.6
Cashew,Kharif,2012-2013,Odisha,Koraput,1438.84,13779,23424.3,101.96,1.7
Ginger,Kharif,2015-2016,Odisha,Puri,1434.56,14426,24091.42,185.44,1.67
Banana,Kharif,2022-2023,Odisha,Khordha,1321.26,20774,616987.8,178.57,29.7
Kulthi (Horse Gram),Kharif,2005-2006,Odisha,Bargarh,1427.13,19113,33065.49,197.35,1.73
Sugarcane,Rabi,2009-2010,Odisha,Cuttack,1554.97,9118,736369.68,165.61,80.76
Potato,Rabi,2021-2022,Odisha,Rayagada,1671.87,13280,302518.4,119.02,22.78
Oil Palm,Kharif,2013-2014,Odisha,Keonjhar,1846.56,24806,45146.92,94.3,1.82
Garlic,Kharif,2010-2011,Odisha,Balangir,1367.56,14661,25070.31,187.47,1.71
Groundnut,Kharif,2005-2006,Odisha,Ganjam,1598.56,23118,39300.6,103.22,1.7
Litchi,Kharif,2008-2009,Odisha,Nabarangpur,1281.41,4905,7112.25,206.4,1.45
Lentil,Rabi,2018-2019,Odisha,Deogarh,1748.34,10198,16214.82,186.35,1.59
Sweet Potato,Kharif,2004-2005,Odisha,Kendrapara,1538.04,21377,31210.42,235.75,1.46
Exotic Vegetables,Rabi,2011-2012,Odisha,Kandhamal,1431.17,11895,22838.4,211.0,1.92
Groundnut,Kharif,2007-2008,Odisha,Jajpur,1518.24,30958,47056.16,111.87,1.52
Mustard,Kharif,2016-2017,Odisha,Kendrapara,1517.49,25288,42230.96,95.07,1.67
Ginger,Kharif,2004-2005,Odisha,Balasore,1396.83,14640,24448.8,201.75,1.67
Rice (Paddy),Kharif,2010-2011,Odisha,Ganjam,1666.85,207987,775791.51,253.61,3.73
Cowpea,Rabi,2010-2011,Odisha,Puri,1709.25,12616,23213.44,171.89,1.84
Bajra (Pearl Millet),Kharif,2014-2015,Odisha,Jajpur,1325.11,13719,20578.5,131.41,1.5
Litchi,Rabi,2014-2015,Odisha,Kendrapara,1526.93,20913,33879.06,164.31,1.62
Biri (Black Gram),Kharif,2019-2020,Odisha,Khordha,1485.12,40540,69728.8,190.59,1.72
Castor,Kharif,2006-2007,Odisha,Ganjam,1540.86,10006,16609.96,214.75,1.66
Sugarcane,Rabi,2002-2003,Odisha,Boudh,1430.87,9826,784213.06,198.22,79.81
Mesta,Rabi,2012-2013,Odisha,Kandhamal,1524.72,14965,22297.85,165.82,1.49
Rice (Paddy),Rabi,2001-2002,Odisha,Subarnapur,1362.79,162229,564556.92,227.98,3.48
Cotton,Rabi,2024-2025,Odisha,Malkangiri,1439.79,23884,11942.0,161.46,0.5
Chilli,Rabi,2020-2021,Odisha,Nabarangpur,1162.91,17886,29154.18,217.72,1.63
Coconut,Kharif,2024-2025,Odisha,Sambalpur,1357.94,21898,37226.6,255.04,1.7
Ginger,Kharif,2012-2013,Odisha,Jharsuguda,1384.09,26132,42333.84,240.8,1.62
Sapota,Kharif,2021-2022,Odisha,Jharsuguda,1276.92,18562,31555.4,97.28,1.7
Gram (Chickpea),Rabi,2008-2009,Odisha,Nabarangpur,1253.0,24003,37924.74,85.21,1.58
Mango,Kharif,2007-2008,Odisha,Jharsuguda,1255.23,20291,28407.4,135.2,1.4
Brinjal (Eggplant),Rabi,2015-2016,Odisha,Bhadrak,1213.15,21253,33154.68,257.5,1.56
Banana,Rabi,2017-2018,Odisha,Keonjhar,1406.19,26076,790102.8,96.28,30.3
Garlic,Kharif,2001-2002,Odisha,Malkangiri,1247.32,14243,19370.48,176.07,1.36
Kulthi (Horse Gram),Rabi,2021-2022,Odisha,Sundargarh,1285.15,10608,18988.32,238.8,1.79
Brinjal (Eggplant),Rabi,2001-2002,Odisha,Keonjhar,1392.82,12057,19652.91,229.45,1.63
Cashew,Rabi,2015-2016,Odisha,Jharsuguda,1174.81,22113,35601.93,186.3,1.61
Gourds,Rabi,2011-2012,Odisha,Deogarh,1753.57,23086,37861.04,134.97,1.64
Pumpkin,Kharif,2014-2015,Odisha,Balasore,1737.26,24178,39651.92,126.66,1.64
Ginger,Kharif,2023-2024,Odisha,Bargarh,1521.02,18365,33424.3,203.95,1.82
Onion,Rabi,2013-2014,Odisha,Kandhamal,1217.52,7266,11116.98,184.83,1.53
Rice (Paddy),Rabi,2005-2006,Odisha,Jagatsinghapur,1547.06,102915,375639.75,194.11,3.65
Onion,Kharif,2012-2013,Odisha,Dhenkanal,1540.26,27501,47301.72,243.43,1.72
Tea,Kharif,2013-2014,Odisha,Sambalpur,1578.04,15200,26600.0,253.58,1.75
Tea,Rabi,2003-2004,Odisha,Malkangiri,1502.18,13888,21248.64,246.67,1.53
Exotic Vegetables,Kharif,2023-2024,Odisha,Balangir,1508.57,28407,46871.55,238.93,1.65
Sugarcane,Rabi,2001-2002,Odisha,Nuapada,1370.98,10408,824625.84,119.37,79.23
Tomato,Kharif,2002-2003,Odisha,Dhenkanal,1436.04,18736,29602.88,227.82,1.58
Guava,Kharif,2005-2006,Odisha,Bargarh,1799.93,39204,65078.64,243.68,1.66
Jowar (Sorghum),Rabi,2024-2025,Odisha,Deogarh,1472.4,16320,27254.4,125.09,1.67
Jute,Rabi,2005-2006,Odisha,Deogarh,1353.98,16499,39102.63,160.98,2.37
Field Pea,Rabi,2015-2016,Odisha,Kalahandi,1456.39,23873,40345.37,207.44,1.69
Potato,Kharif,2017-2018,Odisha,Sambalpur,1348.94,24940,547931.8,170.52,21.97
Cauliflower,Rabi,2005-2006,Odisha,Bargarh,1528.74,17170,26956.9,239.86,1.57
Pumpkin,Rabi,2018-2019,Odisha,Koraput,1202.35,13673,20646.23,242.76,1.51
Jowar (Sorghum),Rabi,2015-2016,Odisha,Koraput,1451.84,14080,24640.0,133.34,1.75
Cauliflower,Kharif,2000-2001,Odisha,Mayurbhanj,1222.18,18115,26266.75,80.14,1.45
Pumpkin,Kharif,2008-2009,Odisha,Nuapada,1404.53,36235,57976.0,126.08,1.6
Cauliflower,Kharif,2009-2010,Odisha,Puri,1634.72,12898,22055.58,162.27,1.71
Ragi (Finger Millet),Rabi,2023-2024,Odisha,Nabarangpur,1531.47,29115,46584.0,110.76,1.6
Tobacco,Kharif,2001-2002,Odisha,Balasore,1201.31,13199,19270.54,208.53,1.46
Biri (Black Gram),Rabi,2000-2001,Odisha,Nayagarh,1437.84,35004,49705.68,96.0,1.42
Cauliflower,Kharif,2000-2001,Odisha,Kandhamal,1519.23,18003,24124.02,99.13,1.34
Oranges & Limes,Kharif,2010-2011,Odisha,Gajapati,1612.9,9758,15417.64,126.72,1.58
Garlic,Kharif,2005-2006,Odisha,Mayurbhanj,1360.68,20780,34079.2,123.74,1.64
Coconut,Kharif,2002-2003,Odisha,Balangir,1559.37,20263,32420.8,108.91,1.6
Biri (Black Gram),Kharif,2019-2020,Odisha,Subarnapur,1424.02,18633,32794.08,246.75,1.76
Castor,Kharif,2016-2017,Odisha,Bargarh,1196.37,30498,50931.66,237.22,1.67
Mesta,Kharif,2022-2023,Odisha,Mayurbhanj,1389.55,24603,39856.86,208.88,1.62
Rice (Paddy),Kharif,2019-2020,Odisha,Cuttack,1576.31,225608,827981.36,110.59,3.67
Niger,Kharif,2000-2001,Odisha,Subarnapur,1444.01,31820,46139.0,206.5,1.45
Kulthi (Horse Gram),Kharif,2012-2013,Odisha,Kendrapara,1388.89,7030,11529.2,224.45,1.64
Castor,Kharif,2016-2017,Odisha,Bargarh,1410.68,11408,19507.68,174.03,1.71
Rice (Paddy),Rabi,2008-2009,Odisha,Sundargarh,1454.81,242624,888003.84,217.57,3.66
Cashew,Rabi,2010-2011,Odisha,Rayagada,1530.16,9776,16716.96,167.36,1.71
Castor,Kharif,2021-2022,Odisha,Jagatsinghapur,1430.29,34661,56150.82,254.26,1.62
Oranges & Limes,Kharif,2004-2005,Odisha,Kalahandi,1660.27,32819,48243.93,96.33,1.47
Sugarcane,Rabi,2013-2014,Odisha,Ganjam,1286.06,11942,937685.84,191.46,78.52
Mango,Rabi,2017-2018,Odisha,Khordha,1473.57,14882,26936.42,193.78,1.81
Garlic,Rabi,2015-2016,Odisha,Jharsuguda,1426.4,17618,28364.98,126.78,1.61
Lentil,Rabi,2009-2010,Odisha,Kalahandi,1563.57,7330,13340.6,105.67,1.82
Exotic Vegetables,Kharif,2017-2018,Odisha,Subarnapur,1248.69,12252,21931.08,193.62,1.79
Jackfruit,Rabi,2024-2025,Odisha,Jagatsinghapur,1561.8,17808,28492.8,221.74,1.6
Cotton,Rabi,2002-2003,Odisha,Sambalpur,1531.1,33727,20910.74,249.84,0.62
Banana,Rabi,2003-2004,Odisha,Nayagarh,1534.49,19554,593463.9,232.84,30.35
Tomato,Kharif,2001-2002,Odisha,Jharsuguda,1461.77,20847,28143.45,216.49,1.35
Tea,Rabi,2016-2017,Odisha,Mayurbhanj,1352.22,21047,33043.79,106.4,1.57
